year,month,offense,crimes,clearances,rate,month_num
2021,January,All Offense Types,733,205,27.97,1
2021,January,Crimes Against Person,190,78,41.05,1
2021,January,Kidnapping/Abduction,5,3,60,1
2021,January,Rape,12,4,33.33,1
2021,January,Sodomy,6,1,16.67,1
2021,January,Sexual Assault With An Object,1,NA,NA,1
2021,January,Fondling,5,1,20,1
2021,January,Statutory Rape,1,NA,NA,1
2021,January,Aggravated Assault,26,13,50,1
2021,January,Simple Assault,123,52,42.28,1
2021,January,Intimidation,11,4,36.36,1
2021,January,Crimes Against Property,468,66,14.1,1
2021,January,Arson,1,NA,NA,1
2021,January,Burglary/Breaking & Entering,36,9,25,1
2021,January,Counterfeiting/Forgery,8,3,37.5,1
2021,January,Destruction/Damage/Vandalism of Property,86,11,12.79,1
2021,January,Embezzlement,3,1,33.33,1
2021,January,False Pretenses/Swindle/Confidence Game,16,NA,NA,1
2021,January,Credit Card/Automated Teller Machine Fraud,17,2,11.76,1
2021,January,Wire Fraud,3,NA,NA,1
2021,January,Identity Theft,3,NA,NA,1
2021,January,Robbery,3,1,33.33,1
2021,January,Shoplifting,33,9,27.27,1
2021,January,Theft From Building,42,4,9.52,1
2021,January,Theft From Coin Operated Machine or Device,1,NA,NA,1
2021,January,Theft From Motor Vehicle,93,5,5.38,1
2021,January,Theft of Motor Vehicle Parts/Accessories,33,1,3.03,1
2021,January,All Other Larceny,41,7,17.07,1
2021,January,Motor Vehicle Theft,46,10,21.74,1
2021,January,Stolen Property Offenses,3,3,100,1
2021,January,Crimes Against Society,75,61,81.33,1
2021,January,Drug/Narcotic Violations,43,36,83.72,1
2021,January,Drug Equipment Violations,19,16,84.21,1
2021,January,Pornography/Obscene Material,3,NA,NA,1
2021,January,Weapon Law Violations,10,9,90,1
2021,February,All Offense Types,535,185,34.58,2
2021,February,Crimes Against Person,176,65,36.93,2
2021,February,Murder and Nonnegligent Manslaughter,1,1,100,2
2021,February,Kidnapping/Abduction,2,NA,NA,2
2021,February,Rape,4,NA,NA,2
2021,February,Sodomy,6,NA,NA,2
2021,February,Fondling,7,2,28.57,2
2021,February,Statutory Rape,1,NA,NA,2
2021,February,Aggravated Assault,25,14,56,2
2021,February,Simple Assault,116,43,37.07,2
2021,February,Intimidation,14,5,35.71,2
2021,February,Crimes Against Property,286,55,19.23,2
2021,February,Arson,2,2,100,2
2021,February,Burglary/Breaking & Entering,14,4,28.57,2
2021,February,Counterfeiting/Forgery,3,1,33.33,2
2021,February,Destruction/Damage/Vandalism of Property,64,13,20.31,2
2021,February,Embezzlement,2,1,50,2
2021,February,False Pretenses/Swindle/Confidence Game,19,2,10.53,2
2021,February,Credit Card/Automated Teller Machine Fraud,14,2,14.29,2
2021,February,Impersonation,1,1,100,2
2021,February,Wire Fraud,2,NA,NA,2
2021,February,Identity Theft,3,NA,NA,2
2021,February,Robbery,6,3,50,2
2021,February,Purse-snatching,1,NA,NA,2
2021,February,Shoplifting,27,5,18.52,2
2021,February,Theft From Building,17,6,35.29,2
2021,February,Theft From Motor Vehicle,26,2,7.69,2
2021,February,Theft of Motor Vehicle Parts/Accessories,20,1,5,2
2021,February,All Other Larceny,37,4,10.81,2
2021,February,Motor Vehicle Theft,26,7,26.92,2
2021,February,Stolen Property Offenses,2,1,50,2
2021,February,Crimes Against Society,73,65,89.04,2
2021,February,Drug/Narcotic Violations,40,39,97.5,2
2021,February,Drug Equipment Violations,15,15,100,2
2021,February,Pornography/Obscene Material,3,NA,NA,2
2021,February,Weapon Law Violations,15,11,73.33,2
2021,March,All Offense Types,663,248,37.41,3
2021,March,Crimes Against Person,231,95,41.13,3
2021,March,Murder and Nonnegligent Manslaughter,2,1,50,3
2021,March,Kidnapping/Abduction,6,5,83.33,3
2021,March,Rape,13,1,7.69,3
2021,March,Sodomy,7,1,14.29,3
2021,March,Sexual Assault With An Object,1,NA,NA,3
2021,March,Fondling,6,NA,NA,3
2021,March,Statutory Rape,2,NA,NA,3
2021,March,Aggravated Assault,48,34,70.83,3
2021,March,Simple Assault,139,50,35.97,3
2021,March,Intimidation,7,3,42.86,3
2021,March,Crimes Against Property,326,59,18.1,3
2021,March,Arson,1,1,100,3
2021,March,Burglary/Breaking & Entering,24,5,20.83,3
2021,March,Counterfeiting/Forgery,4,NA,NA,3
2021,March,Destruction/Damage/Vandalism of Property,62,15,24.19,3
2021,March,False Pretenses/Swindle/Confidence Game,25,2,8,3
2021,March,Credit Card/Automated Teller Machine Fraud,12,3,25,3
2021,March,Impersonation,1,1,100,3
2021,March,Wire Fraud,1,NA,NA,3
2021,March,Identity Theft,7,NA,NA,3
2021,March,Robbery,5,2,40,3
2021,March,Shoplifting,40,16,40,3
2021,March,Theft From Building,21,3,14.29,3
2021,March,Theft From Coin Operated Machine or Device,1,NA,NA,3
2021,March,Theft From Motor Vehicle,27,2,7.41,3
2021,March,Theft of Motor Vehicle Parts/Accessories,29,NA,NA,3
2021,March,All Other Larceny,47,5,10.64,3
2021,March,Motor Vehicle Theft,18,3,16.67,3
2021,March,Stolen Property Offenses,1,1,100,3
2021,March,Crimes Against Society,106,94,88.68,3
2021,March,Drug/Narcotic Violations,59,54,91.53,3
2021,March,Drug Equipment Violations,30,28,93.33,3
2021,March,Pornography/Obscene Material,2,NA,NA,3
2021,March,Weapon Law Violations,15,12,80,3
2021,April,All Offense Types,589,185,31.41,4
2021,April,Crimes Against Person,215,76,35.35,4
2021,April,Murder and Nonnegligent Manslaughter,1,1,100,4
2021,April,Kidnapping/Abduction,1,1,100,4
2021,April,Rape,6,NA,NA,4
2021,April,Sodomy,6,NA,NA,4
2021,April,Fondling,5,1,20,4
2021,April,Statutory Rape,1,NA,NA,4
2021,April,Aggravated Assault,39,12,30.77,4
2021,April,Simple Assault,146,59,40.41,4
2021,April,Intimidation,10,2,20,4
2021,April,Crimes Against Property,296,42,14.19,4
2021,April,Arson,2,2,100,4
2021,April,Burglary/Breaking & Entering,22,8,36.36,4
2021,April,Counterfeiting/Forgery,1,1,100,4
2021,April,Destruction/Damage/Vandalism of Property,72,15,20.83,4
2021,April,Embezzlement,3,1,33.33,4
2021,April,False Pretenses/Swindle/Confidence Game,17,1,5.88,4
2021,April,Credit Card/Automated Teller Machine Fraud,14,1,7.14,4
2021,April,Impersonation,1,NA,NA,4
2021,April,Identity Theft,2,NA,NA,4
2021,April,Robbery,6,3,50,4
2021,April,Pocket-picking,1,NA,NA,4
2021,April,Shoplifting,22,3,13.64,4
2021,April,Theft From Building,22,1,4.55,4
2021,April,Theft From Coin Operated Machine or Device,2,NA,NA,4
2021,April,Theft From Motor Vehicle,24,1,4.17,4
2021,April,Theft of Motor Vehicle Parts/Accessories,26,1,3.85,4
2021,April,All Other Larceny,37,2,5.41,4
2021,April,Motor Vehicle Theft,22,2,9.09,4
2021,April,Crimes Against Society,78,67,85.9,4
2021,April,Drug/Narcotic Violations,47,40,85.11,4
2021,April,Drug Equipment Violations,22,20,90.91,4
2021,April,Weapon Law Violations,9,7,77.78,4
2021,May,All Offense Types,658,201,30.55,5
2021,May,Crimes Against Person,246,84,34.15,5
2021,May,Murder and Nonnegligent Manslaughter,1,NA,NA,5
2021,May,Kidnapping/Abduction,4,3,75,5
2021,May,Rape,8,NA,NA,5
2021,May,Sodomy,5,1,20,5
2021,May,Fondling,5,1,20,5
2021,May,Aggravated Assault,35,14,40,5
2021,May,Simple Assault,166,60,36.14,5
2021,May,Intimidation,13,5,38.46,5
2021,May,"Human Trafficking, Commercial Sex Acts",9,NA,NA,5
2021,May,Crimes Against Property,319,38,11.91,5
2021,May,Arson,2,NA,NA,5
2021,May,Burglary/Breaking & Entering,22,5,22.73,5
2021,May,Counterfeiting/Forgery,6,NA,NA,5
2021,May,Destruction/Damage/Vandalism of Property,76,17,22.37,5
2021,May,Embezzlement,5,1,20,5
2021,May,False Pretenses/Swindle/Confidence Game,10,NA,NA,5
2021,May,Credit Card/Automated Teller Machine Fraud,19,NA,NA,5
2021,May,Wire Fraud,1,NA,NA,5
2021,May,Identity Theft,3,NA,NA,5
2021,May,Robbery,4,NA,NA,5
2021,May,Shoplifting,22,3,13.64,5
2021,May,Theft From Building,29,3,10.34,5
2021,May,Theft From Motor Vehicle,40,2,5,5
2021,May,Theft of Motor Vehicle Parts/Accessories,15,1,6.67,5
2021,May,All Other Larceny,34,2,5.88,5
2021,May,Motor Vehicle Theft,31,4,12.9,5
2021,May,Crimes Against Society,93,79,84.95,5
2021,May,Drug/Narcotic Violations,47,44,93.62,5
2021,May,Drug Equipment Violations,28,25,89.29,5
2021,May,Weapon Law Violations,18,10,55.56,5
2021,June,All Offense Types,658,177,26.9,6
2021,June,Crimes Against Person,218,95,43.58,6
2021,June,Kidnapping/Abduction,6,5,83.33,6
2021,June,Rape,7,NA,NA,6
2021,June,Sodomy,4,NA,NA,6
2021,June,Sexual Assault With An Object,2,NA,NA,6
2021,June,Fondling,5,NA,NA,6
2021,June,Statutory Rape,1,NA,NA,6
2021,June,Aggravated Assault,34,20,58.82,6
2021,June,Simple Assault,144,65,45.14,6
2021,June,Intimidation,15,5,33.33,6
2021,June,Crimes Against Property,391,46,11.76,6
2021,June,Arson,1,NA,NA,6
2021,June,Burglary/Breaking & Entering,23,7,30.43,6
2021,June,Counterfeiting/Forgery,3,1,33.33,6
2021,June,Destruction/Damage/Vandalism of Property,83,18,21.69,6
2021,June,Embezzlement,1,NA,NA,6
2021,June,Extortion/Blackmail,1,NA,NA,6
2021,June,False Pretenses/Swindle/Confidence Game,16,NA,NA,6
2021,June,Credit Card/Automated Teller Machine Fraud,22,NA,NA,6
2021,June,Wire Fraud,1,NA,NA,6
2021,June,Identity Theft,3,NA,NA,6
2021,June,Robbery,2,NA,NA,6
2021,June,Pocket-picking,1,NA,NA,6
2021,June,Shoplifting,32,7,21.88,6
2021,June,Theft From Building,24,4,16.67,6
2021,June,Theft From Motor Vehicle,65,1,1.54,6
2021,June,Theft of Motor Vehicle Parts/Accessories,25,NA,NA,6
2021,June,All Other Larceny,58,5,8.62,6
2021,June,Motor Vehicle Theft,30,3,10,6
2021,June,Crimes Against Society,49,36,73.47,6
2021,June,Drug/Narcotic Violations,25,21,84,6
2021,June,Drug Equipment Violations,11,9,81.82,6
2021,June,Weapon Law Violations,13,6,46.15,6
2021,July,All Offense Types,785,219,27.9,7
2021,July,Crimes Against Person,223,100,44.84,7
2021,July,Kidnapping/Abduction,2,2,100,7
2021,July,Rape,10,NA,NA,7
2021,July,Sodomy,6,3,50,7
2021,July,Fondling,6,NA,NA,7
